"Trial","Frame Size","Drop Rate","Frame Loss (%)","Frame Loss (frames)","Port Load (fps)","Agg Forwarding Rate (fps)","Agg Forwarding L1 Rate (Mbps)","Stream Avg Latency (µs)","Avg Jitter (µs)"
"1","64","NDR","0","0","2,800,000","338,824.3","227.69","-0.31","0.41"
"1","64","0.1","0.0040122242036763735","273","5,200,000","339,042.51","227.84","-1.82","0.41"
"1","64","1","0.2578917028859892","17,488","11,800,000","338,673.32","227.59","-0.89","0.41"
"1","64","5","—","—","—","—","—","—","—"
"1","64","10","—","—","—","—","—","—","—"
"1","64","20","—","—","—","—","—","—","—"
"1","128","NDR","0","0","8,445,945","340,434.68","403.08","-0.34","0.41"
"1","128","0.1","0.00342408430360077","233","6,700,000","340,581.79","403.25","-1.27","0.41"
"1","128","1","0.24132836818126527","16,427","6,100,000","339,753.69","402.27","-0.85","0.41"
"1","128","5","—","—","—","—","—","—","—"
"1","128","10","—","—","—","—","—","—","—"
"1","128","20","—","—","—","—","—","—","—"
"1","256","NDR","0","0","700,000","336,302.46","742.56","-2.21","0.42"
"1","256","0.1","0.011281099856634783","758","4,528,985","336,449.26","742.88","-0.81","0.42"
"1","256","1","0.19941777846457218","13,434","400,000","336,459.14","742.9","-1.05","0.42"
"1","256","5","—","—","—","—","—","—","—"
"1","256","10","—","—","—","—","—","—","—"
"1","256","20","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","NDR","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","0.1","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","1","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","5","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","10","—","—","—","—","—","—","—"
"1","ssu-64-4096bytes (copy)","20","—","—","—","—","—","—","—"
"2","64","NDR","0","0","2,500,000","338,728.02","227.63","-1.69","0.41"
"2","64","0.1","0.005051518845488661","342","14,800,000","339,204.26","227.95","-2.32","0.41"
"2","64","1","0.28501828616159397","19,385","6,100,000","338,829.48","227.69","-0.4","0.41"
"2","64","5","—","—","—","—","—","—","—"
"2","64","10","—","—","—","—","—","—","—"
"2","64","20","—","—","—","—","—","—","—"
"2","128","NDR","0","0","7,000,000","340,163.99","402.75","-1.13","0.41"
"2","128","0.1","0.006437514660778252","438","7,600,000","340,186.99","402.78","-1.19","0.41"
"2","128","1","0.14112633628448623","9,604","1,300,000","340,186.63","402.78","-0.9","0.41"
"2","128","5","—","—","—","—","—","—","—"
"2","128","10","—","—","—","—","—","—","—"
"2","128","20","—","—","—","—","—","—","—"
"2","256","NDR","—","—","—","—","—","—","—"
"2","256","0.1","0.01741909923573517","1,177","2,800,000","336,615.43","743.25","-2.35","0.42"
"2","256","1","0.5235007033976489","35,374","4,000,000","336,317.55","742.59","-0.55","0.42"
"2","256","5","—","—","—","—","—","—","—"
"2","256","10","—","—","—","—","—","—","—"
"2","256","20","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","NDR","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","0.1","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","1","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","5","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","10","—","—","—","—","—","—","—"
"2","ssu-64-4096bytes (copy)","20","—","—","—","—","—","—","—"